[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 69] | [func: _train_run] | [INFO : Data clearing impute models serializing, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 271] | [func: _train_run] | [INFO : Starting encoding features and labels.] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 55] | [func: _train_run] | [INFO : Starting label encoding, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 243] | [func: __encode_label] | [INFO : Label encoding finished, starting to reduce dataframe and save memory, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 61] | [func: _train_run] | [INFO : Label encoding serialize, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 274] | [func: _train_run] | [INFO : Starting feature generation.] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 52] | [func: _train_run] | [INFO : Loading Data clearing feature configuration, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 57] | [func: _train_run] | [INFO : Feature generation component flag: False, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 63] | [func: _train_run] | [INFO : Feature generation's feature configuration is generating, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 278] | [func: _train_run] | [INFO : Starting unsupervised feature selector.] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 52] | [func: _train_run] | [INFO : Unsupervised feature selector component flag: False] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 55] | [func: _train_run] | [INFO : Remove datetime features, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 62] | [func: _train_run] | [INFO : Starting unsupervised feature selecting, method: featuretools feature selection, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:23:05] | [pid: 429091 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 289] | [func: _train_run] | [INFO : Dataset preprocessing has finished.] 
[time: 2021-12-24 10:25:15] | [pid: 429135 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 127] | [func: __init__] | [INFO : Creating type inference object.] 
[time: 2021-12-24 10:25:15] | [pid: 429135 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 140] | [func: __init__] | [INFO : Creating data clear object.] 
[time: 2021-12-24 10:25:15] | [pid: 429135 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 157] | [func: __init__] | [INFO : Creating label encoding object.] 
[time: 2021-12-24 10:25:15] | [pid: 429135 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 163] | [func: __init__] | [INFO : Creating feature generator object] 
[time: 2021-12-24 10:25:15] | [pid: 429135 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 177] | [func: __init__] | [INFO : Creating unsupervised feature selector object.] 
[time: 2021-12-24 10:25:15] | [pid: 429135 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 245] | [func: _train_run] | [INFO : Starting loading data.] 
[time: 2021-12-24 10:25:42] | [pid: 429167 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 127] | [func: __init__] | [INFO : Creating type inference object.] 
[time: 2021-12-24 10:25:42] | [pid: 429167 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 140] | [func: __init__] | [INFO : Creating data clear object.] 
[time: 2021-12-24 10:25:42] | [pid: 429167 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 157] | [func: __init__] | [INFO : Creating label encoding object.] 
[time: 2021-12-24 10:25:42] | [pid: 429167 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 163] | [func: __init__] | [INFO : Creating feature generator object] 
[time: 2021-12-24 10:25:42] | [pid: 429167 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 177] | [func: __init__] | [INFO : Creating unsupervised feature selector object.] 
[time: 2021-12-24 10:25:42] | [pid: 429167 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 245] | [func: _train_run] | [INFO : Starting loading data.] 
[time: 2021-12-24 10:29:02] | [pid: 429218 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 127] | [func: __init__] | [INFO : Creating type inference object.] 
[time: 2021-12-24 10:29:02] | [pid: 429218 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 140] | [func: __init__] | [INFO : Creating data clear object.] 
[time: 2021-12-24 10:29:02] | [pid: 429218 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 157] | [func: __init__] | [INFO : Creating label encoding object.] 
[time: 2021-12-24 10:29:02] | [pid: 429218 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 163] | [func: __init__] | [INFO : Creating feature generator object] 
[time: 2021-12-24 10:29:02] | [pid: 429218 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 177] | [func: __init__] | [INFO : Creating unsupervised feature selector object.] 
[time: 2021-12-24 10:29:02] | [pid: 429218 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 245] | [func: _train_run] | [INFO : Starting loading data.] 
[time: 2021-12-24 10:29:31] | [pid: 429250 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 127] | [func: __init__] | [INFO : Creating type inference object.] 
[time: 2021-12-24 10:29:31] | [pid: 429250 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 140] | [func: __init__] | [INFO : Creating data clear object.] 
[time: 2021-12-24 10:29:31] | [pid: 429250 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 157] | [func: __init__] | [INFO : Creating label encoding object.] 
[time: 2021-12-24 10:29:31] | [pid: 429250 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 163] | [func: __init__] | [INFO : Creating feature generator object] 
[time: 2021-12-24 10:29:31] | [pid: 429250 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 177] | [func: __init__] | [INFO : Creating unsupervised feature selector object.] 
[time: 2021-12-24 10:29:31] | [pid: 429250 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 245] | [func: _train_run] | [INFO : Starting loading data.] 
[time: 2021-12-24 10:31:20] | [pid: 429306 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 127] | [func: __init__] | [INFO : Creating type inference object.] 
[time: 2021-12-24 10:31:20] | [pid: 429306 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 140] | [func: __init__] | [INFO : Creating data clear object.] 
[time: 2021-12-24 10:31:20] | [pid: 429306 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 157] | [func: __init__] | [INFO : Creating label encoding object.] 
[time: 2021-12-24 10:31:20] | [pid: 429306 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 163] | [func: __init__] | [INFO : Creating feature generator object] 
[time: 2021-12-24 10:31:20] | [pid: 429306 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 177] | [func: __init__] | [INFO : Creating unsupervised feature selector object.] 
[time: 2021-12-24 10:31:20] | [pid: 429306 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 245] | [func: _train_run] | [INFO : Starting loading data.] 
[time: 2021-12-24 10:32:13] | [pid: 429355 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 127] | [func: __init__] | [INFO : Creating type inference object.] 
[time: 2021-12-24 10:32:13] | [pid: 429355 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 140] | [func: __init__] | [INFO : Creating data clear object.] 
[time: 2021-12-24 10:32:13] | [pid: 429355 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 157] | [func: __init__] | [INFO : Creating label encoding object.] 
[time: 2021-12-24 10:32:13] | [pid: 429355 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 163] | [func: __init__] | [INFO : Creating feature generator object] 
[time: 2021-12-24 10:32:13] | [pid: 429355 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 177] | [func: __init__] | [INFO : Creating unsupervised feature selector object.] 
[time: 2021-12-24 10:32:13] | [pid: 429355 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 245] | [func: _train_run] | [INFO : Starting loading data.] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 127] | [func: __init__] | [INFO : Creating type inference object.] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 140] | [func: __init__] | [INFO : Creating data clear object.] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 157] | [func: __init__] | [INFO : Creating label encoding object.] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 163] | [func: __init__] | [INFO : Creating feature generator object] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 177] | [func: __init__] | [INFO : Creating unsupervised feature selector object.] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 245] | [func: _train_run] | [INFO : Starting loading data.] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 258] | [func: _train_run] | [INFO : Starting type inference.] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 262] | [func: _train_run] | [INFO : Starting data clear.] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 55] | [func: _train_run] | [INFO : Data clear component flag: False] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 65] | [func: _train_run] | [INFO : Data clearing feature configuration is generating, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 69] | [func: _train_run] | [INFO : Data clearing impute models serializing, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 271] | [func: _train_run] | [INFO : Starting encoding features and labels.] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 55] | [func: _train_run] | [INFO : Starting label encoding, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 243] | [func: __encode_label] | [INFO : Label encoding finished, starting to reduce dataframe and save memory, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 61] | [func: _train_run] | [INFO : Label encoding serialize, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 274] | [func: _train_run] | [INFO : Starting feature generation.] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 52] | [func: _train_run] | [INFO : Loading Data clearing feature configuration, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 57] | [func: _train_run] | [INFO : Feature generation component flag: False, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 63] | [func: _train_run] | [INFO : Feature generation's feature configuration is generating, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 278] | [func: _train_run] | [INFO : Starting unsupervised feature selector.] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 52] | [func: _train_run] | [INFO : Unsupervised feature selector component flag: False] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 55] | [func: _train_run] | [INFO : Remove datetime features, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 62] | [func: _train_run] | [INFO : Starting unsupervised feature selecting, method: featuretools feature selection, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:07] | [pid: 429389 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 289] | [func: _train_run] | [INFO : Dataset preprocessing has finished.] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 127] | [func: __init__] | [INFO : Creating type inference object.] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 140] | [func: __init__] | [INFO : Creating data clear object.] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 157] | [func: __init__] | [INFO : Creating label encoding object.] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 163] | [func: __init__] | [INFO : Creating feature generator object] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 177] | [func: __init__] | [INFO : Creating unsupervised feature selector object.] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 245] | [func: _train_run] | [INFO : Starting loading data.] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 258] | [func: _train_run] | [INFO : Starting type inference.] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 262] | [func: _train_run] | [INFO : Starting data clear.] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 55] | [func: _train_run] | [INFO : Data clear component flag: False] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 65] | [func: _train_run] | [INFO : Data clearing feature configuration is generating, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 69] | [func: _train_run] | [INFO : Data clearing impute models serializing, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 271] | [func: _train_run] | [INFO : Starting encoding features and labels.] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 55] | [func: _train_run] | [INFO : Starting label encoding, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 243] | [func: __encode_label] | [INFO : Label encoding finished, starting to reduce dataframe and save memory, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 61] | [func: _train_run] | [INFO : Label encoding serialize, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 274] | [func: _train_run] | [INFO : Starting feature generation.] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 52] | [func: _train_run] | [INFO : Loading Data clearing feature configuration, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 57] | [func: _train_run] | [INFO : Feature generation component flag: False, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 63] | [func: _train_run] | [INFO : Feature generation's feature configuration is generating, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 278] | [func: _train_run] | [INFO : Starting unsupervised feature selector.] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 52] | [func: _train_run] | [INFO : Unsupervised feature selector component flag: False] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 55] | [func: _train_run] | [INFO : Remove datetime features, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 62] | [func: _train_run] | [INFO : Starting unsupervised feature selecting, method: featuretools feature selection, with current memory usage: 0.28 GiB] 
[time: 2021-12-24 10:33:27] | [pid: 429415 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 289] | [func: _train_run] | [INFO : Dataset preprocessing has finished.] 
